,DT_COMPTC,CAPTC_DIA,RESG_DIA,IBOV,Dol,NDX,SPX,Fluxo
3725,2019-11-01,1078204758.6200004,243367092.73000005,108195.6,3.9909,8161.17,3066.91,834837665.8900003
3726,2019-11-04,1202130586.2399993,538694714.8799999,108779.3,4.0177,8210.66,3078.27,663435871.3599994
3727,2019-11-05,1006235044.4700001,1362503093.2799997,108719.0,3.9933,8210.18,3074.62,-356268048.8099996
3728,2019-11-06,879371856.1400007,332587917.8699999,108360.2,4.0745,8196.03,3076.78,546783938.2700008
3729,2019-11-07,1006379536.43,577898958.6699997,109580.6,4.1014,8219.65,3085.18,428480577.7600002
3730,2019-11-08,2832341722.8800006,1014617227.3700002,107629.0,4.1676,8255.89,3093.08,1817724495.5100002
3731,2019-11-11,1270166860.8399994,510577199.65,108367.4,4.1481,8241.91,3087.01,759589661.1899995
3732,2019-11-12,1029515078.2900001,269626106.6599998,106751.1,4.164,8263.79,3091.84,759888971.6300004
3733,2019-11-13,1050745500.5000002,176296903.54000002,106060.0,4.1767,8259.81,3094.04,874448596.9600003
3734,2019-11-14,1136254817.2200005,193218157.19000006,106556.9,4.1893,8257.83,3096.63,943036660.0300004
3735,2019-11-18,929432834.02,362813354.70000005,106269.3,4.2092,8328.48,3122.03,566619479.3199999
3736,2019-11-19,767827204.0,381129395.5000002,105864.2,4.1994,8338.74,3120.18,386697808.4999998
3737,2019-11-20,187137338.90999997,49797697.53000001,,4.1968,8283.75,3108.46,137339641.37999997
3738,2019-11-21,735714805.44,288529063.3599999,107496.7,4.1954,8265.62,3103.54,447185742.08000016
3739,2019-11-22,915010520.7299994,177282518.74,108692.3,4.1952,8272.05,3110.29,737728001.9899994
3740,2019-11-25,763568372.4800001,216399316.45999998,108423.9,4.227,8371.93,3133.64,547169056.0200002
3741,2019-11-26,1048775882.8999997,302244592.63,107059.4,4.2386,8385.75,3140.52,746531290.2699997
3742,2019-11-27,909558993.6700003,519353930.2999999,107707.8,4.26,8444.71,3153.63,390205063.3700004
3743,2019-11-28,1176417224.3799999,335068953.09999967,108290.1,4.2121,,,841348271.2800002
3744,2019-11-29,1413570934.21,803122733.4499998,108233.3,4.2371,8403.69,3140.98,610448200.7600002
3745,2019-12-02,992556754.7500001,291759100.53000015,108927.8,4.2169,8309.26,3113.87,700797654.22
3746,2019-12-03,1076222932.4500003,296884100.5799999,108956.0,4.2048,8254.74,3093.2,779338831.8700004
3747,2019-12-04,991235947.2699995,522824862.14000016,110300.9,4.2071,8296.53,3112.76,468411085.12999934
3748,2019-12-05,948146534.0199999,265632867.75999978,110622.3,4.1874,8308.4,3117.43,682513666.2600001
3749,2019-12-06,1060450218.8199997,935815707.3799998,111125.8,4.1389,8397.37,3145.91,124634511.43999994
3750,2019-12-09,1569856912.4000006,368029345.84999985,110977.2,4.1397,8362.74,3135.96,1201827566.5500007
3751,2019-12-10,1335416299.2899995,300729048.2000001,110672.0,4.1459,8354.29,3132.52,1034687251.0899994
3752,2019-12-11,1466145143.7999992,433488617.9900001,110963.9,4.1181,8402.61,3141.63,1032656525.8099991
3753,2019-12-12,1177766067.5400002,328298104.44000006,112199.7,4.0903,8466.9,3168.57,849467963.1000001
3754,2019-12-13,1646633576.8400002,399152241.7100002,112564.9,4.1079,8487.71,3168.8,1247481335.1299999
3755,2019-12-16,1406621199.41,544671316.8599995,111896.0,4.0577,8570.33,3191.45,861949882.5500005
3756,2019-12-17,1320354411.0599995,364646668.2599999,112615.7,4.0716,8575.7,3192.52,955707742.7999996
3757,2019-12-18,1405636675.5500004,479039098.7500002,114314.7,4.0677,8580.62,3191.14,926597576.8000002
3758,2019-12-19,1730271716.6099992,789936391.8500004,115131.3,4.065,8641.29,3205.37,940335324.7599988
3759,2019-12-20,1939471552.96,283518145.26000005,115121.1,4.0972,8678.49,3221.22,1655953407.7
3760,2019-12-23,2100936073.0600007,459301156.81000024,115863.3,4.0791,8696.01,3224.01,1641634916.2500005
3761,2019-12-24,554169237.9999999,148276349.11999997,,4.084,8699.51,3223.38,405892888.8799999
3762,2019-12-26,1663957543.3700001,590899018.2,117203.2,4.0535,8778.31,3239.91,1073058525.1700001
3763,2019-12-27,1735544879.590001,183190242.08,116534.0,4.0475,8770.98,3240.02,1552354637.5100012
3764,2019-12-30,1853885203.37,573815711.7999998,115645.3,4.0231,8709.73,3221.29,1280069491.5700002
3765,2019-12-31,302234476.77000004,111133294.75000001,,4.0249,8733.07,3230.78,191101182.02000004
3766,2020-01-02,1151010212.4900002,472043626.8999998,118573.1,4.0244,8872.22,3257.85,678966585.5900004
3767,2020-01-03,1701383129.989999,823641360.069999,117706.7,4.0584,8793.9,3234.85,877741769.9200001
3768,2020-01-06,1922214838.7199981,1781758703.71,116877.9,4.0652,8848.52,3246.28,140456135.00999808
3769,2020-01-07,2110749235.6300004,561778943.1800002,116661.9,4.0658,8846.45,3237.18,1548970292.4500003
3770,2020-01-08,2285112923.5899987,739722544.3900005,116247.0,4.0638,8912.37,3253.05,1545390379.1999984
3771,2020-01-09,1698332668.85,361591203.3299999,115947.1,4.0891,8989.63,3274.7,1336741465.52
3772,2020-01-10,1709384832.4,237712221.46000007,115503.4,4.0979,8966.64,3265.35,1471672610.94
3773,2020-01-13,1630827500.7000003,484727117.6199998,117325.3,4.1426,9070.65,3288.13,1146100383.0800004
3774,2020-01-14,1681879583.3100002,256212669.1,117632.4,4.1314,9033.42,3283.15,1425666914.2100003
3775,2020-01-15,1520075820.8099992,674968291.9799995,116414.4,4.1831,9035.67,3289.29,845107528.8299997
3776,2020-01-16,2065934948.1100001,387872640.0499999,116704.2,4.1843,9125.0,3316.81,1678062308.0600002
3777,2020-01-17,1537136136.6300006,351575486.61999995,118478.3,4.1616,9173.73,3329.62,1185560650.0100007
3778,2020-01-20,1840681177.2699993,442737164.0800001,118861.6,4.1872,,,1397944013.189999
3779,2020-01-21,1663534719.5400002,467578453.3100003,117026.0,4.2137,9166.63,3320.79,1195956266.23
3780,2020-01-22,2680378540.520001,369707048.67999977,118391.4,4.1809,9188.58,3321.75,2310671491.840001
3781,2020-01-23,1815535253.0999987,344882018.63,119527.6,4.1699,9216.98,3325.54,1470653234.4699988
3782,2020-01-24,1799633520.1299999,331373078.3699999,118376.4,4.1821,9141.47,3295.47,1468260441.76
3783,2020-01-27,1903046951.9699993,643515881.0200006,114481.8,4.2108,8952.18,3243.63,1259531070.9499989
3784,2020-01-28,1664128542.73,991390924.2899991,116479.0,4.1901,9090.93,3276.24,672737618.4400009
3785,2020-01-29,1439983845.6500006,857448104.9500002,115384.8,4.226,9101.61,3273.4,582535740.7000004
3786,2020-01-30,1388094695.8999996,617223853.38,115528.0,4.2475,9136.09,3283.66,770870842.5199996
3787,2020-01-31,1789436657.4600005,700240311.3400003,113760.6,4.2828,8991.51,3225.52,1089196346.1200004
3788,2020-02-03,1210289807.96,748052369.4199995,114629.2,4.2466,9126.23,3248.92,462237438.54000056
3789,2020-02-04,1052055516.4899999,456845395.9199997,115556.7,4.2543,9334.06,3297.59,595210120.5700002
3790,2020-02-05,1251080675.0800004,521474186.3,116028.3,4.2412,9367.48,3334.69,729606488.7800004
3791,2020-02-06,1517467611.8400002,266206763.24,115190.0,4.2824,9445.92,3345.78,1251260848.6000001
3792,2020-02-07,1385945139.7700002,395379849.8099999,113770.3,4.3176,9401.1,3327.71,990565289.9600003
3793,2020-02-10,1972739884.6200001,1070600349.5600003,112570.3,4.3262,9516.84,3352.09,902139535.0599998
3794,2020-02-11,1502195845.5000002,16309721972.75001,115370.6,4.3308,9517.86,3357.75,-14807526127.25001
3795,2020-02-12,1350304413.3799996,448294223.9399997,116674.1,4.3533,9613.2,3379.45,902010189.4399999
3796,2020-02-13,1187823949.2,607446200.6999997,115662.4,4.3537,9595.7,3373.94,580377748.5000004
3797,2020-02-14,1562878374.4399989,267139766.64000005,114380.7,4.2921,9623.58,3380.16,1295738607.7999988
3798,2020-02-17,1560527825.9599993,558215908.8499995,115309.1,4.328,,,1002311917.1099998
3799,2020-02-18,1297714916.82,518185930.44999987,114977.3,4.3622,9629.8,3370.29,779528986.3700001
3800,2020-02-19,1206200954.51,451927330.72,116517.6,4.3639,9718.73,3386.15,754273623.79
3801,2020-02-20,1364619794.4099998,536337513.3100001,114586.2,4.3899,9627.83,3373.23,828282281.0999997
3802,2020-02-21,1465713800.769999,302940733.42,113681.4,4.3885,9446.69,3337.75,1162773067.349999
3803,2020-02-24,0.0,0.0,,,9079.63,3225.89,0.0
3804,2020-02-25,0.0,0.0,,,8834.87,3128.21,0.0
3805,2020-02-26,1872369793.63,787495276.5299999,105718.3,4.4496,8873.76,3116.39,1084874517.1000004
