"Index","N100.Close","N100.Volume","FTSE.Close","FTSE.Volume","N225.Close","N225.Volume","HSI.Close","HSI.Volume","EUR.Close","JPY.Close","AUD.Close","GBP.Close","CNY.Close"
2005-06-28,718.940002,0,5090.399902,1778302500,11513.830078,70100000,14287.44043,602401600,0.82829,109.769997,NA,0.5503,8.266501
2005-06-29,724.210022,0,5109.100098,1719746500,11577.44043,66700000,14277.280273,543705000,0.82795,110.440002,NA,0.55346,8.266501
2005-06-30,724.719971,0,5113.200195,1860970900,11584.009766,61800000,14201.05957,406370800,0.82706,110.860001,NA,0.55857,8.266501
2005-07-01,731.559998,0,5161,1524998000,11630.129883,71900000,NA,NA,0.8378,111.739998,NA,0.56532,8.266501
2005-07-04,732.400024,0,5184.299805,1097189000,11651.549805,61200000,14177.870117,362865800,0.8397,111.559998,NA,0.56805,8.266501
2005-07-05,730.380005,0,5190.100098,1537376200,11616.700195,64800000,14124.799805,333218800,0.83815,111.550003,NA,0.56883,8.266501
2005-07-06,734.469971,0,5229.600098,2145403200,11603.530273,66800000,14149.929688,427336800,0.83829,112.25,NA,0.57078,8.266501
2005-07-07,723.530029,0,5158.299805,2145991700,11590.139648,68200000,14030.80957,482251200,0.83717,112,NA,0.57382,8.266501
2005-07-08,734.51001,0,5232.200195,1406848500,11565.990234,9.3e+07,13964.469727,340661000,0.83465,112.260002,NA,0.57518,8.266501
2005-07-11,738.26001,0,5242.399902,1395623900,11674.790039,64200000,14157.240234,338976200,0.82857,111.699997,NA,0.56918,8.266501
2005-07-12,736.330017,0,5217.200195,1652493600,11692.139648,63200000,14146.950195,332181200,0.81766,110.959999,NA,0.56278,8.266501
2005-07-13,740.719971,0,5245.899902,1718199800,11659.839844,63100000,14307.299805,378495400,0.82781,112.010002,NA,0.56702,8.266501
2005-07-14,745.23999,0,5259.700195,1856601500,11764.259766,64600000,14491.540039,616934800,0.82686,112.279999,NA,0.56883,8.266501
2005-07-15,745.210022,0,5230.899902,2063712900,11758.679688,7.1e+07,14504.290039,658528400,0.83015,112.209999,NA,0.57113,8.266501
2005-07-18,743.47998,0,5214.200195,2032949400,NA,NA,14567,325610600,0.82946,111.889999,NA,0.57234,8.266501
2005-07-19,751.179993,0,5201.600098,1911988200,11764.839844,78900000,14567.740234,454201200,0.83126,112.900002,NA,0.57584,8.266501
2005-07-20,749.5,0,5215.200195,1911491300,11789.349609,84800000,14602.700195,428144000,0.8225,112.730003,NA,0.57438,8.266501
2005-07-21,750.780029,0,5221.600098,1614879900,11786.730469,75800000,14620.139648,404305000,0.8223,110.43,NA,0.57022,8.266501
2005-07-22,748.390015,0,5241.799805,1360092100,11695.049805,66900000,14786.459961,593108000,0.82912,111.300003,NA,0.57504,8.1011
2005-07-25,749.47998,0,5270.700195,1317798300,11762.650391,68100000,14794.030273,388280000,0.82884,111.639999,NA,0.57264,8.1015
2005-07-26,750.22998,0,5256.200195,1526312200,11737.959961,65500000,14769.929688,289148400,0.83215,112.510002,NA,0.57567,8.0999
2005-07-27,751.869995,0,5263.600098,2143198500,11835.080078,74500000,14801.860352,374516000,0.82871,112.449997,NA,0.57369,8.1028
2005-07-28,755.099976,0,5270.299805,1836907900,11858.30957,82100000,14813.320313,352640800,0.82427,112.269997,NA,0.56954,8.098
2005-07-29,754.809998,0,5282.299805,1714755700,11899.599609,83700000,14880.980469,412972800,0.82481,112.440002,NA,0.56876,8.0956
2005-08-01,756.140015,0,5290.899902,1083613000,11946.919922,96200000,14978.879883,331918200,0.82075,112.220001,NA,0.56555,8.0946
2005-08-02,761.900024,0,5327.5,1378560000,11940.200195,92900000,15137.080078,555043400,0.82008,111.389999,NA,0.56459,8.0932
2005-08-03,761.059998,0,5332.299805,1671199100,11981.799805,93600000,15118.5,537270000,0.8107,111.099998,NA,0.56249,8.095101
2005-08-04,756.169983,0,5315.5,1554852900,11883.30957,87600000,15111.540039,412126600,0.80743,111.230003,NA,0.56145,8.0927
2005-08-05,750.640015,0,5314.799805,1422469400,11766.480469,76600000,15051.320313,342387400,0.80867,111.800003,NA,0.56218,8.093701
2005-08-08,752.830017,0,5344.299805,1018078500,11778.980469,83800000,15108.94043,226935800,0.80965,112.080002,NA,0.56035,8.099
2005-08-09,761.169983,0,5363.700195,1352824800,11900.320313,89800000,15047.839844,339751000,0.80788,111.779999,NA,0.55932,8.097
2005-08-10,768.22998,0,5377.5,1400061900,12098.080078,132700000,15346.410156,479410000,0.80736,110.650002,NA,0.55673,8.0962
2005-08-11,765.390015,0,5358.600098,1307330400,12263.320313,127400000,15445.200195,615163000,0.80173,109.699997,NA,0.55172,8.090201
