"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 21, 2012","1,840.89","1,860.35","1,880.08","1,840.73","","-1.02%"
"Sep 20, 2012","1,859.82","1,853.33","1,866.32","1,825.30","","0.34%"
"Sep 19, 2012","1,853.44","1,863.92","1,891.03","1,850.47","","-0.36%"
"Sep 18, 2012","1,860.21","1,876.74","1,882.80","1,848.69","","-0.87%"
"Sep 17, 2012","1,876.48","1,892.19","1,897.08","1,861.74","","-0.83%"
"Sep 14, 2012","1,892.19","1,874.34","1,962.89","1,874.30","","0.95%"
"Sep 13, 2012","1,874.30","1,773.67","1,883.12","1,755.05","","5.66%"
"Sep 12, 2012","1,773.98","1,737.02","1,773.98","1,728.64","","2.13%"
"Sep 11, 2012","1,737.02","1,691.73","1,737.66","1,690.07","","2.69%"
"Sep 10, 2012","1,691.60","1,668.37","1,720.03","1,668.37","","1.39%"
"Sep 06, 2012","1,668.37","1,607.67","1,668.37","1,607.67","","3.75%"
"Sep 05, 2012","1,608.12","1,542.78","1,608.19","1,542.78","","4.27%"
"Sep 04, 2012","1,542.28","1,567.86","1,567.86","1,536.72","","-1.63%"
"Sep 03, 2012","1,567.86","1,574.32","1,580.78","1,563.86","","-0.42%"
"Aug 31, 2012","1,574.41","1,559.85","1,585.56","1,555.39","","0.93%"
"Aug 30, 2012","1,559.93","1,559.54","1,567.76","1,549.79","","0.04%"
"Aug 29, 2012","1,559.34","1,612.03","1,619.33","1,556.13","","-3.27%"
"Aug 28, 2012","1,612.03","1,610.59","1,636.82","1,604.27","","0.08%"
"Aug 27, 2012","1,610.77","1,640.89","1,641.27","1,610.54","","-1.84%"
"Aug 24, 2012","1,640.89","1,662.93","1,662.93","1,623.42","","-1.34%"
"Aug 23, 2012","1,663.18","1,693.53","1,693.86","1,655.10","","-1.80%"
"Aug 22, 2012","1,693.68","1,672.72","1,694.61","1,653.31","","1.25%"
"Aug 21, 2012","1,672.72","1,690.22","1,724.93","1,664.19","","-1.02%"
"Aug 20, 2012","1,689.99","1,682.52","1,697.70","1,655.18","","0.44%"
"Aug 17, 2012","1,682.63","1,704.08","1,719.41","1,677.81","","-1.25%"
"Aug 16, 2012","1,703.99","1,658.85","1,707.51","1,658.85","","2.76%"
"Aug 15, 2012","1,658.23","1,665.32","1,676.77","1,628.65","","-0.43%"
"Aug 14, 2012","1,665.32","1,692.86","1,725.25","1,656.56","","-1.62%"
"Aug 13, 2012","1,692.82","1,693.90","1,702.55","1,671.12","","-0.07%"
"Aug 10, 2012","1,693.95","1,674.83","1,696.35","1,650.20","","1.15%"
"Aug 09, 2012","1,674.70","1,691.91","1,696.81","1,658.34","","-1.02%"
"Aug 08, 2012","1,691.91","1,655.20","1,694.61","1,642.50","","2.18%"
"Aug 07, 2012","1,655.85","1,694.00","1,722.31","1,655.58","","-2.27%"
"Aug 06, 2012","1,694.36","1,640.83","1,714.49","1,638.32","","3.26%"
"Aug 03, 2012","1,640.91","1,582.33","1,646.39","1,582.33","","3.76%"
"Aug 02, 2012","1,581.42","1,588.51","1,594.91","1,560.92","","-0.45%"
"Aug 01, 2012","1,588.59","1,603.64","1,616.72","1,577.31","","-0.99%"
"Jul 31, 2012","1,604.45","1,604.72","1,622.41","1,595.00","","0.03%"
"Jul 30, 2012","1,603.93","1,583.33","1,603.93","1,560.94","","1.30%"
"Jul 27, 2012","1,583.33","1,504.49","1,611.06","1,504.49","","5.27%"
"Jul 26, 2012","1,504.07","1,463.76","1,508.26","1,463.76","","2.76%"
"Jul 25, 2012","1,463.73","1,482.17","1,501.71","1,455.77","","-1.18%"
"Jul 24, 2012","1,481.27","1,508.47","1,516.93","1,475.80","","-1.73%"
"Jul 23, 2012","1,507.31","1,545.90","1,545.90","1,484.67","","-2.51%"
"Jul 20, 2012","1,546.06","1,590.90","1,590.90","1,541.58","","-2.82%"
"Jul 19, 2012","1,591.00","1,579.54","1,600.03","1,579.54","","0.74%"
"Jul 18, 2012","1,579.34","1,555.07","1,579.34","1,545.11","","1.55%"
"Jul 17, 2012","1,555.27","1,535.88","1,559.57","1,530.77","","1.25%"
"Jul 16, 2012","1,536.04","1,573.88","1,575.50","1,531.61","","-2.47%"
"Jul 13, 2012","1,575.02","1,549.26","1,579.16","1,548.89","","1.70%"
"Jul 12, 2012","1,548.68","1,549.94","1,558.09","1,509.45","","-0.12%"
"Jul 11, 2012","1,550.51","1,559.05","1,572.25","1,532.02","","-0.53%"
"Jul 10, 2012","1,558.79","1,619.37","1,626.25","1,555.05","","-3.73%"
"Jul 06, 2012","1,619.14","1,660.84","1,663.74","1,608.65","","-2.56%"
"Jul 05, 2012","1,661.60","1,652.86","1,688.22","1,652.86","","0.53%"
"Jul 04, 2012","1,652.84","1,632.69","1,661.00","1,623.17","","1.23%"
"Jul 03, 2012","1,632.69","1,601.54","1,652.26","1,601.47","","1.95%"
"Jul 02, 2012","1,601.45","1,599.08","1,603.91","1,582.13","","0.15%"
"Jun 29, 2012","1,599.03","1,516.35","1,599.03","1,516.35","","5.45%"
"Jun 28, 2012","1,516.32","1,536.55","1,538.21","1,508.37","","-1.36%"
"Jun 27, 2012","1,537.26","1,539.45","1,557.61","1,536.14","","-0.13%"
"Jun 26, 2012","1,539.24","1,534.73","1,551.41","1,519.08","","0.30%"
"Jun 25, 2012","1,534.66","1,561.30","1,561.30","1,526.78","","-2.13%"
"Jun 22, 2012","1,567.98","1,580.85","1,597.74","1,557.40","","-0.80%"
"Jun 21, 2012","1,580.68","1,634.90","1,636.68","1,577.00","","-3.31%"
"Jun 20, 2012","1,634.77","1,640.04","1,658.22","1,625.67","","-0.32%"
"Jun 19, 2012","1,639.95","1,618.82","1,650.11","1,599.97","","1.31%"
"Jun 18, 2012","1,618.82","1,632.91","1,633.07","1,608.20","","-0.86%"
"Jun 15, 2012","1,632.91","1,607.74","1,632.91","1,601.18","","1.57%"
"Jun 14, 2012","1,607.74","1,608.92","1,613.47","1,585.06","","-0.13%"
"Jun 13, 2012","1,609.81","1,594.93","1,613.28","1,576.32","","0.96%"
"Jun 12, 2012","1,594.52","1,562.89","1,594.52","1,557.02","","2.02%"
"Jun 11, 2012","1,562.89","1,571.98","1,606.25","1,559.33","","-0.50%"
"Jun 08, 2012","1,570.68","1,561.51","1,570.89","1,546.25","","0.59%"
"Jun 06, 2012","1,561.51","1,517.51","1,561.89","1,517.51","","2.90%"
"Jun 05, 2012","1,517.55","1,543.92","1,561.06","1,517.32","","-1.69%"
"Jun 04, 2012","1,543.64","1,540.39","1,558.61","1,539.57","","0.23%"
"Jun 01, 2012","1,540.11","1,555.29","1,555.29","1,523.66","","-1.20%"
"May 31, 2012","1,558.81","1,571.67","1,573.74","1,541.89","","-0.86%"
"May 30, 2012","1,572.36","1,594.07","1,594.14","1,558.61","","-1.38%"
"May 29, 2012","1,594.30","1,594.12","1,615.51","1,585.58","","0.01%"
"May 28, 2012","1,594.12","1,578.15","1,601.66","1,578.15","","1.12%"
"May 25, 2012","1,576.44","1,576.66","1,596.66","1,568.36","","-0.02%"
"May 24, 2012","1,576.69","1,606.51","1,610.83","1,560.35","","-1.86%"
"May 23, 2012","1,606.51","1,622.26","1,622.26","1,569.90","","-0.97%"
"May 22, 2012","1,622.26","1,646.77","1,657.52","1,616.57","","-1.46%"
"May 21, 2012","1,646.37","1,573.31","1,649.48","1,573.31","","4.66%"
"May 18, 2012","1,573.08","1,568.28","1,584.02","1,550.31","","0.31%"
"May 17, 2012","1,568.28","1,626.21","1,643.58","1,568.17","","-3.57%"
"May 16, 2012","1,626.39","1,646.61","1,681.86","1,621.16","","-1.23%"
"May 15, 2012","1,646.61","1,674.23","1,693.61","1,642.46","","-1.65%"
"May 14, 2012","1,674.26","1,722.34","1,722.34","1,671.63","","-2.80%"
"May 11, 2012","1,722.57","1,739.84","1,755.39","1,712.06","","-1.00%"
"May 10, 2012","1,740.00","1,736.27","1,772.39","1,735.95","","0.21%"
"May 09, 2012","1,736.28","1,735.46","1,751.41","1,709.79","","0.04%"
"May 08, 2012","1,735.62","1,776.73","1,776.73","1,722.68","","-2.37%"
"May 07, 2012","1,777.78","1,770.40","1,780.99","1,750.96","","0.12%"
"May 04, 2012","1,775.72","1,844.92","1,845.10","1,775.72","","-3.75%"
"May 03, 2012","1,844.85","1,867.54","1,873.95","1,835.35","","-1.22%"
"May 02, 2012","1,867.58","1,863.21","1,868.08","1,836.81","","0.24%"
"Apr 30, 2012","1,863.09","1,861.99","1,869.73","1,840.42","","0.06%"
"Apr 27, 2012","1,862.02","1,873.18","1,887.97","1,853.53","","-0.58%"
"Apr 26, 2012","1,872.80","1,863.61","1,878.43","1,836.27","","0.38%"
"Apr 25, 2012","1,865.63","1,869.45","1,894.73","1,850.50","","-0.13%"
"Apr 24, 2012","1,868.13","1,849.80","1,868.13","1,832.70","","1.00%"
"Apr 23, 2012","1,849.68","1,883.96","1,884.01","1,823.52","","-1.82%"
"Apr 20, 2012","1,883.96","1,880.23","1,903.23","1,879.83","","0.19%"
"Apr 19, 2012","1,880.31","1,901.98","1,909.75","1,873.38","","-1.11%"
"Apr 18, 2012","1,901.48","1,856.99","1,904.14","1,848.87","","2.38%"
