Date,Price,Open,High,Low,Vol.,Change %
19/09/08,"16,368.44","15,709.09","16,382.60","15,695.06",,8.05%
18/09/08,"15,149.56","14,877.69","15,149.56","14,541.36",,2.85%
17/09/08,"14,729.72","15,361.72","15,362.37","14,653.35",,-4.81%
16/09/08,"15,473.82","15,481.96","15,544.82","15,104.69",,-0.78%
15/09/08,"15,595.45","15,647.22","15,891.69","15,480.88",,-2.95%
12/09/08,"16,068.81","15,762.80","16,103.12","15,607.50",,1.75%
11/09/08,"15,792.21","15,491.30","15,819.06","15,336.89",,1.43%
10/09/08,"15,569.61","15,687.37","15,903.91","15,404.90",,-0.34%
09/09/08,"15,622.69","15,941.27","16,092.96","15,622.69",,-2.64%
08/09/08,"16,046.55","16,428.04","16,598.48","16,036.46",,-1.24%
05/09/08,"16,248.79","16,179.83","16,325.03","16,029.50",,-0.31%
04/09/08,"16,299.81","16,901.89","16,901.89","16,299.81",,-3.35%
03/09/08,"16,865.61","17,251.86","17,343.82","16,690.31",,-1.80%
02/09/08,"17,174.56","17,324.51","17,446.57","17,174.56",,-1.17%
01/09/08,"17,377.42","17,337.42","17,468.68","17,309.84",,-0.61%
29/08/08,"17,483.20","17,830.79","17,864.23","17,424.39",,-1.61%
28/08/08,"17,769.50","17,807.93","17,851.42","17,652.96",,0.47%
27/08/08,"17,685.69","17,719.18","17,719.18","17,398.12",,0.38%
26/08/08,"17,618.31","17,587.12","17,759.39","17,581.42",,-0.09%
25/08/08,"17,633.40","17,873.13","17,907.09","17,632.36",,-1.35%
22/08/08,"17,874.00","17,894.87","17,982.53","17,768.97",,0.00%
21/08/08,"17,874.39","18,018.73","18,050.66","17,833.41",,-0.60%
20/08/08,"17,981.73","17,984.56","18,021.78","17,807.40",,0.85%
19/08/08,"17,830.35","17,786.04","17,969.92","17,531.90",,0.65%
18/08/08,"17,715.09","17,916.35","18,051.65","17,633.77",,-0.85%
15/08/08,"17,866.87","17,967.20","18,073.79","17,734.69",,-0.57%
14/08/08,"17,968.58","17,922.25","18,120.19","17,792.72",,1.18%
13/08/08,"17,759.67","17,822.07","18,080.70","17,652.98",,-0.38%
12/08/08,"17,826.80","18,008.21","18,086.45","17,780.39",,-0.84%
11/08/08,"17,977.67","18,986.05","19,001.74","17,971.70",,-4.67%
08/08/08,"18,858.23","19,041.96","19,097.78","18,805.02",,-0.99%
07/08/08,"19,045.88","19,289.52","19,309.46","19,045.88",,-1.20%
