"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2008","865.36","865.36","865.36","865.36","","4.02%"
"Feb 11, 2008","831.88","831.88","831.88","831.88","","1.84%"
"Feb 08, 2008","816.84","816.84","816.84","816.84","","-0.51%"
"Feb 07, 2008","820.99","820.99","820.99","820.99","","-2.63%"
"Feb 06, 2008","843.19","843.19","843.19","843.19","","-4.10%"
"Feb 01, 2008","879.21","879.21","879.21","879.21","","1.88%"
"Jan 31, 2008","862.99","862.99","862.99","862.99","","-1.74%"
"Jan 30, 2008","878.28","878.28","878.28","878.28","","0.53%"
"Jan 29, 2008","873.65","873.65","873.65","873.65","","4.57%"
"Jan 28, 2008","835.45","835.45","835.45","835.45","","0.06%"
"Jan 24, 2008","834.91","834.91","834.91","834.91","","5.29%"
"Jan 23, 2008","792.94","792.94","792.94","792.94","","-2.35%"
"Jan 22, 2008","812.04","812.04","812.04","812.04","","3.95%"
"Jan 21, 2008","781.17","781.17","781.17","781.17","","-6.33%"
"Jan 18, 2008","833.93","833.93","833.93","833.93","","-0.73%"
"Jan 17, 2008","840.10","840.10","840.10","840.10","","-2.45%"
"Jan 16, 2008","861.18","861.18","861.18","861.18","","-0.68%"
"Jan 15, 2008","867.11","867.11","867.11","867.11","","-5.05%"
"Jan 14, 2008","913.20","913.20","913.20","913.20","","-2.45%"
"Jan 11, 2008","936.17","936.17","936.17","936.17","","-1.87%"
"Jan 10, 2008","954.04","954.04","954.04","954.04","","1.06%"
"Jan 09, 2008","944.05","944.05","944.05","944.05","","-1.10%"
"Jan 08, 2008","954.55","954.55","954.55","954.55","","0.41%"
"Jan 07, 2008","950.63","950.63","950.63","950.63","","-0.18%"
"Jan 04, 2008","952.34","952.34","952.34","952.34","","-2.64%"
"Jan 03, 2008","978.17","978.17","978.17","978.17","","0.29%"
"Jan 02, 2008","975.37","975.37","975.37","975.37","","-85.66%"
"Dec 28, 2007","6,800.59","6,800.59","6,800.59","6,800.59","","-0.04%"
"Dec 27, 2007","6,803.46","6,803.46","6,803.46","6,803.46","","-0.78%"
"Dec 26, 2007","6,856.67","6,856.67","6,856.67","6,856.67","","1.44%"
"Dec 21, 2007","6,759.27","6,759.27","6,759.27","6,759.27","","1.35%"
"Dec 20, 2007","6,669.51","6,669.51","6,669.51","6,669.51","","-0.19%"
"Dec 19, 2007","6,682.39","6,682.39","6,682.39","6,682.39","","0.62%"
"Dec 18, 2007","6,641.35","6,641.35","6,641.35","6,641.35","","1.52%"
"Dec 17, 2007","6,541.68","6,541.68","6,541.68","6,541.68","","-4.07%"
"Dec 14, 2007","6,819.37","6,819.37","6,819.37","6,819.37","","-0.16%"
"Dec 13, 2007","6,830.27","6,830.27","6,830.27","6,830.27","","-2.47%"
"Dec 12, 2007","7,003.50","7,003.50","7,003.50","7,003.50","","-0.72%"
"Dec 11, 2007","7,054.09","7,054.09","7,054.09","7,054.09","","-1.67%"
"Dec 10, 2007","7,173.73","7,173.73","7,173.73","7,173.73","","-0.24%"
"Dec 07, 2007","7,191.33","7,191.33","7,191.33","7,191.33","","-0.02%"
"Dec 06, 2007","7,192.64","7,192.64","7,192.64","7,192.64","","1.11%"
"Dec 05, 2007","7,113.89","7,113.89","7,113.89","7,113.89","","1.76%"
"Dec 04, 2007","6,990.77","6,990.77","6,990.77","6,990.77","","0.06%"
"Dec 03, 2007","6,986.25","6,986.25","6,986.25","6,986.25","","-0.54%"
"Nov 30, 2007","7,023.94","7,023.94","7,023.94","7,023.94","","2.22%"
"Nov 29, 2007","6,871.60","6,871.60","6,871.60","6,871.60","","1.18%"
"Nov 28, 2007","6,791.52","6,791.52","6,791.52","6,791.52","","4.84%"
"Nov 27, 2007","6,478.17","6,478.17","6,478.17","6,478.17","","0.66%"
"Nov 26, 2007","6,435.81","6,435.81","6,435.81","6,435.81","","-2.56%"
"Nov 23, 2007","6,604.83","6,604.83","6,604.83","6,604.83","","0.53%"
"Nov 22, 2007","6,570.23","6,570.23","6,570.23","6,570.23","","0.33%"
"Nov 21, 2007","6,548.32","6,548.32","6,548.32","6,548.32","","-3.67%"
"Nov 19, 2007","6,798.06","6,798.06","6,798.06","6,798.06","","-3.73%"
"Nov 16, 2007","7,061.09","7,061.09","7,061.09","7,061.09","","-0.42%"
"Nov 14, 2007","7,091.00","7,091.00","7,091.00","7,091.00","","2.06%"
"Nov 13, 2007","6,947.70","6,947.70","6,947.70","6,947.70","","1.59%"
"Nov 12, 2007","6,839.01","6,839.01","6,839.01","6,839.01","","-3.11%"
"Nov 09, 2007","7,058.89","7,058.89","7,058.89","7,058.89","","1.11%"
"Nov 08, 2007","6,981.60","6,981.60","6,981.60","6,981.60","","-2.38%"
"Nov 07, 2007","7,151.86","7,151.86","7,151.86","7,151.86","","-1.47%"
"Nov 06, 2007","7,258.39","7,258.39","7,258.39","7,258.39","","2.29%"
"Nov 05, 2007","7,096.19","7,096.19","7,096.19","7,096.19","","-1.28%"
"Nov 01, 2007","7,188.00","7,188.00","7,188.00","7,188.00","","-1.52%"
"Oct 31, 2007","7,299.03","7,299.03","7,299.03","7,299.03","","1.49%"
"Oct 30, 2007","7,191.82","7,191.82","7,191.82","7,191.82","","-0.96%"
"Oct 29, 2007","7,261.35","7,261.35","7,261.35","7,261.35","","0.71%"
"Oct 26, 2007","7,210.02","7,210.02","7,210.02","7,210.02","","2.93%"
"Oct 25, 2007","7,005.08","7,005.08","7,005.08","7,005.08","","-0.43%"
"Oct 24, 2007","7,035.00","7,035.00","7,035.00","7,035.00","","-1.04%"
"Oct 23, 2007","7,108.88","7,108.88","7,108.88","7,108.88","","2.13%"
"Oct 22, 2007","6,960.67","6,960.67","6,960.67","6,960.67","","0.35%"
"Oct 19, 2007","6,936.06","6,936.06","6,936.06","6,936.06","","-3.04%"
"Oct 18, 2007","7,153.65","7,153.65","7,153.65","7,153.65","","0.42%"
"Oct 17, 2007","7,123.38","7,123.38","7,123.38","7,123.38","","2.13%"
"Oct 16, 2007","6,975.07","6,975.07","6,975.07","6,975.07","","-2.00%"
"Oct 15, 2007","7,117.43","7,117.43","7,117.43","7,117.43","","0.28%"
"Oct 11, 2007","7,097.62","7,097.62","7,097.62","7,097.62","","-1.35%"
"Oct 10, 2007","7,194.84","7,194.84","7,194.84","7,194.84","","-1.32%"
"Oct 09, 2007","7,291.14","7,291.14","7,291.14","7,291.14","","1.21%"
"Oct 08, 2007","7,203.71","7,203.71","7,203.71","7,203.71","","0.59%"
"Oct 05, 2007","7,161.58","7,161.58","7,161.58","7,161.58","","2.96%"
"Oct 04, 2007","6,956.02","6,956.02","6,956.02","6,956.02","","0.22%"
"Oct 03, 2007","6,941.07","6,941.07","6,941.07","6,941.07","","-3.24%"
"Oct 02, 2007","7,173.53","7,173.53","7,173.53","7,173.53","","-0.23%"
"Oct 01, 2007","7,190.11","7,190.11","7,190.11","7,190.11","","3.16%"
"Sep 28, 2007","6,969.99","6,969.99","6,969.99","6,969.99","","-0.71%"
"Sep 27, 2007","7,019.91","7,019.91","7,019.91","7,019.91","","2.30%"
"Sep 26, 2007","6,861.81","6,861.81","6,861.81","6,861.81","","1.70%"
"Sep 25, 2007","6,746.94","6,746.94","6,746.94","6,746.94","","0.57%"
"Sep 24, 2007","6,708.62","6,708.62","6,708.62","6,708.62","","1.75%"
"Sep 21, 2007","6,592.96","6,592.96","6,592.96","6,592.96","","0.90%"
