Date,Price,Open,High,Low,Vol.,Change %
3/26/21,"11,288.43","11,213.41","11,375.76","11,163.18",,0.68%
3/25/21,"11,212.30","11,063.76","11,230.44","10,935.87",,1.34%
3/24/21,"11,063.98","11,259.75","11,333.88","11,063.98",,-1.74%
3/23/21,"11,259.70","11,382.17","11,493.54","11,240.93",,-1.08%
3/22/21,"11,382.39","11,404.90","11,411.29","11,216.87",,-0.20%
3/19/21,"11,405.20","11,225.05","11,434.34","11,186.05",,1.60%
3/18/21,"11,225.19","11,172.22","11,457.08","11,172.22",,0.47%
3/17/21,"11,172.21","10,850.27","11,190.71","10,779.16",,2.96%
3/16/21,"10,850.75","11,033.95","11,048.22","10,756.54",,-1.66%
3/15/21,"11,033.95","10,975.35","11,098.08","10,904.29",,0.30%
3/12/21,"11,001.17","11,104.37","11,104.86","10,921.00",,-0.93%
3/11/21,"11,104.14","10,967.11","11,133.36","10,862.53",,1.25%
3/10/21,"10,966.62","10,738.53","11,019.29","10,659.17",,2.12%
3/9/21,"10,738.53","10,688.79","10,929.81","10,583.67",,0.47%
3/8/21,"10,688.72","11,217.28","11,217.28","10,646.06",,-4.79%
3/5/21,"11,226.76","10,978.69","11,269.87","10,974.76",,2.26%
3/4/21,"10,978.76","10,868.17","11,224.89","10,863.61",,1.02%
3/3/21,"10,868.04","10,809.90","10,952.01","10,383.56",,0.54%
3/2/21,"10,809.90","10,549.58","10,938.86","10,231.14",,2.47%
3/1/21,"10,549.70","10,691.08","10,870.05","10,549.70",,-1.32%
2/26/21,"10,690.92","10,864.25","11,059.33","10,687.06",,-1.59%
2/25/21,"10,863.79","11,151.13","11,278.49","10,821.77",,-2.57%
2/24/21,"11,150.45","11,195.54","11,302.31","11,045.96",,-0.40%
2/23/21,"11,195.25","10,824.19","11,252.56","10,824.19",,3.44%
2/22/21,"10,823.09","11,437.87","11,437.87","10,745.08",,-5.38%
2/19/21,"11,438.22","11,475.23","11,579.09","11,415.11",,-0.32%
2/18/21,"11,475.22","11,623.39","11,676.56","11,443.46",,-1.22%
2/17/21,"11,616.53","11,644.38","11,695.42","11,523.47",,-0.24%
2/12/21,"11,644.37","11,671.19","11,722.52","11,519.13",,-0.23%
2/11/21,"11,671.19","11,627.74","11,787.81","11,587.06",,0.37%
2/10/21,"11,627.74","11,857.52","11,930.45","11,600.65",,-1.94%
2/9/21,"11,858.25","11,819.96","11,944.61","11,621.19",,0.32%
2/8/21,"11,820.96","11,938.24","11,965.95","11,787.93",,-0.98%
2/5/21,"11,938.24","11,936.77","12,080.24","11,868.43",,0.01%
2/4/21,"11,936.86","11,890.47","12,024.13","11,859.15",,0.40%
2/3/21,"11,889.81","11,762.24","11,981.43","11,762.24",,1.09%
2/2/21,"11,761.75","11,710.36","11,899.47","11,655.11",,0.44%
2/1/21,"11,709.89","11,478.41","11,793.22","11,478.41",,2.02%
1/29/21,"11,477.96","11,807.68","11,810.00","11,441.37",,-2.80%
1/28/21,"11,808.30","11,360.28","11,844.46","11,355.71",,3.94%
1/27/21,"11,360.28","11,385.33","11,541.68","11,248.31",,-0.22%
1/26/21,"11,385.35","11,541.23","11,728.75","11,343.07",,-1.37%
1/22/21,"11,543.73","11,672.00","11,672.00","11,438.95",,-1.13%
1/21/21,"11,675.97","11,890.73","11,943.16","11,627.96",,-1.81%
1/20/21,"11,890.82","12,055.20","12,118.90","11,835.43",,-1.35%
1/19/21,"12,053.11","12,160.56","12,291.38","11,970.74",,-0.86%
1/18/21,"12,157.53","12,094.15","12,330.36","12,094.15",,0.52%
1/15/21,"12,094.09","12,492.65","12,492.65","12,085.27",,-3.19%
1/14/21,"12,493.01","12,296.73","12,563.13","12,296.73",,1.60%
1/13/21,"12,296.63","12,445.17","12,512.60","12,163.53",,-1.19%
1/12/21,"12,445.15","12,319.92","12,487.86","12,310.14",,1.02%
1/11/21,"12,319.11","12,598.64","12,598.64","12,182.09",,-2.22%
1/8/21,"12,598.68","12,456.61","12,666.28","12,456.02",,1.15%
1/7/21,"12,455.97","12,043.86","12,499.96","12,029.49",,3.43%
1/6/21,"12,043.48","11,951.15","12,249.82","11,944.04",,0.77%
1/5/21,"11,951.00","12,036.08","12,047.86","11,769.15",,-0.71%
1/4/21,"12,035.98","12,281.87","12,409.24","11,988.17",,-1.96%
12/30/20,"12,276.50","12,415.87","12,483.96","12,267.82",,-1.11%
12/29/20,"12,413.77","12,402.17","12,467.19","12,319.72",,0.10%
12/28/20,"12,401.83","12,200.72","12,403.29","12,200.72",,1.65%
12/23/20,"12,200.66","12,045.86","12,244.17","12,045.86",,1.29%
12/22/20,"12,045.86","11,884.88","12,088.06","11,884.88",,1.36%
12/21/20,"11,884.72","12,109.73","12,109.73","11,822.28",,-1.89%
12/18/20,"12,114.16","12,179.67","12,271.71","12,078.68",,-0.54%
12/17/20,"12,179.50","12,167.41","12,308.04","12,116.80",,0.12%
12/16/20,"12,164.86","11,928.15","12,262.85","11,848.84",,1.99%
12/15/20,"11,927.96","11,824.25","12,009.91","11,822.40",,0.92%
12/14/20,"11,819.66","11,875.83","11,971.17","11,815.33",,-0.47%
12/11/20,"11,875.62","11,830.87","11,927.68","11,641.59",,0.38%
12/10/20,"11,830.73","11,454.14","11,848.45","11,452.49",,3.29%
12/9/20,"11,453.69","11,522.85","11,584.41","11,420.52",,-0.58%
12/8/20,"11,521.06","11,563.76","11,720.88","11,448.30",,-0.37%
12/7/20,"11,563.78","11,522.45","11,722.70","11,446.83",,0.37%
12/4/20,"11,521.60","11,459.22","11,565.52","11,398.39",,0.57%
12/3/20,"11,455.96","11,449.10","11,737.72","11,434.53",,0.05%
12/2/20,"11,450.62","11,303.79","11,450.62","11,285.98",,1.30%
12/1/20,"11,303.75","10,924.47","11,446.62","10,924.47",,3.48%
11/30/20,"10,923.15","11,115.80","11,132.58","10,920.92",,-1.73%
11/27/20,"11,115.80","11,113.02","11,302.76","11,104.95",,0.03%
11/26/20,"11,112.93","11,203.51","11,203.51","11,005.66",,-0.81%
11/25/20,"11,203.13","11,238.09","11,262.56","11,093.48",,-0.31%
11/24/20,"11,237.87","10,936.69","11,309.38","10,936.67",,2.75%
11/23/20,"10,936.69","10,895.50","11,025.30","10,882.95",,0.42%
11/20/20,"10,891.47","10,973.24","10,998.46","10,841.79",,-0.75%
11/19/20,"10,973.24","10,910.57","11,061.46","10,885.22",,0.57%
11/18/20,"10,910.92","11,057.84","11,077.33","10,876.67",,-1.33%
11/17/20,"11,057.87","10,990.20","11,068.98","10,863.31",,0.62%
11/16/20,"10,990.15","10,721.23","11,009.58","10,721.23",,2.51%
11/13/20,"10,720.89","10,503.44","10,724.61","10,485.72",,2.07%
11/12/20,"10,503.44","10,789.60","10,823.39","10,423.90",,-2.65%
11/11/20,"10,789.58","10,798.10","10,891.69","10,610.00",,-0.08%
11/10/20,"10,798.10","10,455.23","10,872.63","10,451.01",,3.28%
11/9/20,"10,455.47","10,047.51","10,710.73","10,047.51",,4.07%
11/6/20,"10,047.01","10,017.23","10,067.54","9,893.23",,0.30%
11/5/20,"10,017.23","9,744.09","10,044.53","9,744.04",,2.81%
11/4/20,"9,743.90","9,484.80","9,797.56","9,484.63",,2.73%
11/3/20,"9,484.55","9,341.74","9,602.85","9,341.74",,1.53%
10/30/20,"9,341.44","9,602.69","9,602.69","9,270.10",,-2.73%
10/29/20,"9,603.81","9,535.49","9,639.12","9,252.64",,0.72%
10/28/20,"9,535.49","10,000.97","10,000.97","9,531.79",,-4.67%
10/27/20,"10,002.37","10,297.12","10,444.34","9,966.45",,-2.86%
10/26/20,"10,296.77","10,233.48","10,355.00","10,105.78",,0.61%
10/23/20,"10,234.46","10,338.89","10,479.79","10,220.87",,-1.01%
10/22/20,"10,338.80","10,101.18","10,373.83","10,091.17",,2.35%
10/21/20,"10,101.18","10,041.62","10,223.39","9,953.95",,0.60%
10/20/20,"10,041.14","9,711.41","10,061.08","9,711.26",,3.42%
10/19/20,"9,708.86","9,528.30","9,846.08","9,528.30",,1.90%
10/16/20,"9,528.14","9,728.71","9,728.71","9,528.14",,-2.05%
